dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
bank-marketing,2,XGB_default,0.9030081840300819,0.9563714783378031,0.05336329430772124,0.8982691853503891,0.9261363582552629,0.09061932563781738
bank-marketing,2,XGB_tuned,0.9061048440610484,0.9301335397716276,0.024028695710579195,0.9002021982708469,0.9294811267146769,0.07427167892456055
bank-marketing,2,LGBM_default,0.9059942490599425,0.9327048024551411,0.026710553395198566,0.9014746349650476,0.9324359967572194,0.11481285095214844
bank-marketing,2,AdaPrune_gap,0.9031187790311878,0.9296635240122757,0.026544744981087942,0.8976389704647595,0.9278031488307428,17.13271474838257
bank-marketing,2,AdaPrune_trend,0.9031187790311878,0.9296635240122757,0.026544744981087942,0.8976389704647595,0.9278031488307428,17.237228393554688
bank-marketing,2,AdaPrune_data,0.9031187790311878,0.9296635240122757,0.026544744981087942,0.8976389704647595,0.9278031488307428,17.213435411453247
bank-marketing,2,AdaPrune_hybrid,0.9031187790311878,0.9296635240122757,0.026544744981087942,0.8976389704647595,0.9278031488307428,17.028120279312134
bank-marketing,3,RF_default,0.9095332890953329,0.9999723520141558,0.09043906291882287,0.8996737020694239,0.9307664241526532,0.23874998092651367
bank-marketing,3,XGB_default,0.9103074541030746,0.954684951201305,0.04437749709823047,0.9044686824245929,0.9333376109496878,0.07506990432739258
bank-marketing,3,XGB_tuned,0.913846494138465,0.9303547236583815,0.016508229519916484,0.9068372097708348,0.9376019880024699,0.07007622718811035
bank-marketing,3,LGBM_default,0.9104180491041804,0.930769443446045,0.020351394341864504,0.903156735916468,0.9385092846373276,0.10418701171875
bank-marketing,3,AdaPrune_gap,0.9097544790975448,0.9285852525643506,0.01883077346680584,0.9021668340011921,0.9314904028283411,17.17789387702942
bank-marketing,3,AdaPrune_trend,0.9097544790975448,0.9285852525643506,0.01883077346680584,0.9021668340011921,0.9314904028283411,17.506879568099976
bank-marketing,3,AdaPrune_data,0.9097544790975448,0.9285852525643506,0.01883077346680584,0.9021668340011921,0.9314904028283411,18.186447620391846
bank-marketing,3,AdaPrune_hybrid,0.9097544790975448,0.9285852525643506,0.01883077346680584,0.9021668340011921,0.9314904028283411,17.477080821990967
bank-marketing,4,RF_default,0.90278699402787,1.0,0.09721300597213,0.8934327771091413,0.9234342385148369,0.2602427005767822
bank-marketing,4,XGB_default,0.9045565140455651,0.9573668058281954,0.0528102917826303,0.8996425371359462,0.9279628491387313,0.08231782913208008
bank-marketing,4,XGB_tuned,0.9078743640787437,0.9318200669081257,0.02394570282938202,0.9018772040193412,0.9295315583908839,0.07762265205383301
bank-marketing,4,LGBM_default,0.9064366290643663,0.930658851502668,0.024222222438301744,0.9004244753148245,0.9298054402756363,0.11385655403137207
bank-marketing,4,AdaPrune_gap,0.9035611590356116,0.9289723243661699,0.025411165330558316,0.8967077549970833,0.9251141105462343,16.988298892974854
bank-marketing,4,AdaPrune_trend,0.9035611590356116,0.9289723243661699,0.025411165330558316,0.8967077549970833,0.9251141105462343,17.23334789276123
bank-marketing,4,AdaPrune_data,0.9035611590356116,0.9289723243661699,0.025411165330558316,0.8967077549970833,0.9251141105462343,17.10282063484192
