dataset,fold,method,accuracy,f1,auc,train_time
ionosphere,0,LGBM_default,0.9577464788732394,0.9575643908701075,,0.03586864471435547
ionosphere,0,RF_default,0.9436619718309859,0.9431475811390081,,0.12708091735839844
ionosphere,0,RF_tuned,0.9436619718309859,0.9431475811390081,,0.0953834056854248
ionosphere,1,AdaPrune_hybrid,0.9714285714285714,0.9711438923395447,,0.33692240715026855
ionosphere,1,AdaPrune_gap,0.9714285714285714,0.9711438923395447,,0.2729926109313965
ionosphere,1,AdaPrune_trend,0.9714285714285714,0.9711438923395447,,0.4439713954925537
ionosphere,1,AdaPrune_dataaware,0.9571428571428572,0.9564663202274731,,0.398296594619751
ionosphere,1,XGB_default,0.9285714285714286,0.9282350302758465,,0.03802371025085449
ionosphere,1,XGB_tuned,0.9285714285714286,0.9282350302758465,,0.026037931442260742
ionosphere,1,LGBM_default,0.9428571428571428,0.942287784679089,,0.03903007507324219
ionosphere,1,RF_default,0.9285714285714286,0.9282350302758465,,0.13662004470825195
ionosphere,1,RF_tuned,0.9428571428571428,0.942287784679089,,0.09159135818481445
ionosphere,2,AdaPrune_hybrid,0.9857142857142858,0.9856470060551694,,0.38022589683532715
ionosphere,2,AdaPrune_gap,0.8285714285714286,0.8115877930119416,,0.22150945663452148
ionosphere,2,AdaPrune_trend,0.9714285714285714,0.9711438923395447,,0.38904309272766113
ionosphere,2,AdaPrune_dataaware,0.9714285714285714,0.9711438923395447,,0.38500404357910156
ionosphere,2,XGB_default,0.9,0.8970760233918128,,0.03953409194946289
ionosphere,2,XGB_tuned,0.8857142857142857,0.8814935064935064,,0.027584552764892578
ionosphere,2,LGBM_default,0.9285714285714286,0.9274438670457889,,0.03644609451293945
ionosphere,2,RF_default,0.9285714285714286,0.9274438670457889,,0.1172933578491211
ionosphere,2,RF_tuned,0.9285714285714286,0.9274438670457889,,0.0971221923828125
ionosphere,3,AdaPrune_hybrid,0.9857142857142858,0.9856470060551694,,0.37374114990234375
ionosphere,3,AdaPrune_gap,0.6428571428571429,0.5031055900621119,,0.2518899440765381
ionosphere,3,AdaPrune_trend,0.9857142857142858,0.9856470060551694,,0.4062178134918213
ionosphere,3,AdaPrune_dataaware,0.9857142857142858,0.9856470060551694,,0.4056727886199951
ionosphere,3,XGB_default,0.9714285714285714,0.9714285714285714,,0.03962373733520508
ionosphere,3,XGB_tuned,0.9857142857142858,0.9856470060551694,,0.03353261947631836
ionosphere,3,LGBM_default,0.9571428571428572,0.9564663202274731,,0.0408322811126709
ionosphere,3,RF_default,0.9714285714285714,0.9711438923395447,,0.1213526725769043
ionosphere,3,RF_tuned,0.9714285714285714,0.9711438923395447,,0.08991432189941406
ionosphere,4,AdaPrune_hybrid,0.9714285714285714,0.9711438923395447,,0.36670756340026855
ionosphere,4,AdaPrune_gap,0.6428571428571429,0.5031055900621119,,0.24836349487304688
ionosphere,4,AdaPrune_trend,0.9428571428571428,0.9428571428571428,,0.3810584545135498
ionosphere,4,AdaPrune_dataaware,0.9714285714285714,0.9711438923395447,,0.38103580474853516
ionosphere,4,XGB_default,0.8857142857142857,0.8857142857142857,,0.042037248611450195
ionosphere,4,XGB_tuned,0.8714285714285714,0.8719667642337833,,0.024523496627807617
ionosphere,4,LGBM_default,0.9285714285714286,0.9282350302758465,,0.03753352165222168
ionosphere,4,RF_default,0.9,0.9004185944040538,,0.12581086158752441
ionosphere,4,RF_tuned,0.9142857142857143,0.9142857142857143,,0.09533452987670898
synthetic_easy,0,AdaPrune_hybrid,0.9625,0.9624997656235351,,1.6158967018127441
synthetic_easy,0,AdaPrune_gap,0.9625,0.9624997656235351,,1.601943016052246
synthetic_easy,0,AdaPrune_trend,0.9375,0.9374964841772351,,1.6133449077606201
synthetic_easy,0,AdaPrune_dataaware,0.9675,0.9674997968737304,,1.6025562286376953
synthetic_easy,0,XGB_default,0.9875,0.9874999218745117,,0.04753398895263672
